,Year,Plot,Ring,CO2_Treatment,Nitrogen_Treatment,CountOfSpecies,measured_species,measured_group,photo_rep,date,time,measurement_taken_at_growth_CO2,PAR,transpiration_rate,Amax_area_mol_CO2_m2_s1,tleaf,gs_mmol_m2_s1,A_gs_mmol_CO2_mol_H2O,SLA_cm2_g,assimilation_rate,portable_gas_exchange_system_used
24,1998,22,1,Cenrich,Nenrich,1,Bromus inermis,C3,4,7/16/1998,2:37 PM,other,1790,2.935,6.5,27.7,213.3,0.03064,200.3,130.9,Ciras-1
25,1998,23,1,Cenrich,Namb,16,Achillea millefolium,forb,3,7/30/1998,3:33 PM,atgrwth,1935,2.418,10.3,26.6,118,0.08733,118,121.6,Ciras-1
26,1998,23,1,Cenrich,Namb,16,Achillea millefolium,forb,3,7/30/1998,3:37 PM,other,1451,2.094,5.5,26.8,96.6,0.05653,118,64.4,Ciras-1
27,1998,23,1,Cenrich,Namb,16,Andropogon gerardi,C4,3,7/30/1998,3:35 PM,atgrwth,1697,1.697,0.3,28.2,65.5,0.00526,301.2,10.4,Ciras-1
28,1998,23,1,Cenrich,Namb,16,Andropogon gerardi,C4,3,7/30/1998,3:39 PM,other,1488,1.833,1.3,28.2,70.3,0.01846,301.2,39.1,Ciras-1
29,1998,23,1,Cenrich,Namb,16,Bromus inermis,C3,3,7/30/1998,3:20 PM,atgrwth,1627,2.194,9.2,28.2,97.5,0.09429,169.7,155.9,Ciras-1
30,1998,23,1,Cenrich,Namb,16,Bromus inermis,C3,3,7/30/1998,3:23 PM,other,1455,2.374,5.4,27.9,109.3,0.04942,169.7,91.7,Ciras-1
31,1998,23,1,Cenrich,Namb,16,Lupinus perennis,legume,3,7/30/1998,3:21 PM,atgrwth,2107,6.295,19.7,24.9,653.6,0.03016,103.9,204.8,Ciras-1
32,1998,23,1,Cenrich,Namb,16,Lupinus perennis,legume,3,7/30/1998,3:24 PM,other,1972,6.833,13,25.9,611.3,0.02132,103.9,135.4,Ciras-1
33,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,1,7/17/1998,9:40 AM,atgrwth,1700,2.866,3.6,25.5,147.7,0.02412,219.4,78.2,Ciras-1
34,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,1,7/17/1998,9:44 AM,other,1744,3.137,0.6,27.1,142.7,0.00402,219.4,12.6,Ciras-1
35,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,2,7/21/1998,11:05 AM,atgrwth,1500,2.843,11.6,26.4,167.7,0.06929,193.8,225.1,Ciras-1
36,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,2,7/21/1998,11:08 AM,other,1832,2.567,7,26,156,0.04492,193.8,135.8,Ciras-1
37,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,3,7/23/1998,9:54 AM,atgrwth,1986,2.669,5.4,28.7,100.4,0.05352,180.7,97.1,Ciras-1
38,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,3,7/23/1998,9:57 AM,other,1990,1.688,1.9,25.9,77,0.02529,180.7,35.2,Ciras-1
39,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,4,7/24/1998,1:07 PM,atgrwth,2481,2.43,11.4,27.6,105.7,0.108,159.4,181.9,Ciras-1
40,1998,24,1,Cenrich,Namb,1,Agropyron repens,C3,4,7/24/1998,1:09 PM,other,2441,2.291,4.5,25.4,123,0.03689,159.4,72.3,Ciras-1
41,1998,30,1,Cenrich,Nenrich,16,Achillea millefolium,forb,2,7/27/1998,11:11 AM,atgrwth,2250,3.261,7.9,25.8,188.6,0.04214,120.1,95.5,Ciras-1
42,1998,30,1,Cenrich,Nenrich,16,Achillea millefolium,forb,2,7/27/1998,11:16 AM,other,2170,3.405,6.5,26.3,182.7,0.03536,120.1,77.6,Ciras-1
43,1998,30,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,2,7/27/1998,11:19 AM,atgrwth,2151,1.781,3.8,25.4,87.9,0.04287,332.3,125.2,Ciras-1
44,1998,30,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,2,7/27/1998,11:22 AM,other,2159,2.377,1,26.7,108.9,0.00951,332.3,34.4,Ciras-1
45,1998,30,1,Cenrich,Nenrich,16,Bromus inermis,C3,2,7/27/1998,11:26 AM,atgrwth,2217,1.664,6.1,25.3,86.8,0.07075,188.1,115.5,Ciras-1
46,1998,30,1,Cenrich,Nenrich,16,Bromus inermis,C3,2,7/27/1998,11:29 AM,other,2199,1.598,2.6,25.8,79.5,0.03311,188.1,49.5,Ciras-1
47,1998,30,1,Cenrich,Nenrich,16,Lupinus perennis,legume,2,7/27/1998,11:05 AM,atgrwth,2115,5.764,22.7,24.6,552.9,0.04097,168.7,382.2,Ciras-1
48,1998,30,1,Cenrich,Nenrich,16,Lupinus perennis,legume,2,7/27/1998,11:09 AM,other,2232,6.714,12.5,27.1,503.9,0.02471,168.7,210.1,Ciras-1
49,1998,33,1,Cenrich,Namb,16,Achillea millefolium,forb,2,7/27/1998,11:46 AM,atgrwth,2291,1.945,7.6,25.6,106.4,0.07109,134.4,101.7,Ciras-1
50,1998,33,1,Cenrich,Namb,16,Achillea millefolium,forb,2,7/27/1998,11:49 AM,other,2346,2.544,4.1,26.4,131,0.0315,134.4,55.4,Ciras-1
51,1998,33,1,Cenrich,Namb,16,Andropogon gerardi,C4,2,7/27/1998,11:56 AM,atgrwth,2291,0.949,3.5,25.9,44.7,0.0791,200.1,70.8,Ciras-1
52,1998,33,1,Cenrich,Namb,16,Andropogon gerardi,C4,2,7/27/1998,11:58 AM,other,2324,1.055,0.6,27,45.7,0.01373,200.1,12.5,Ciras-1
53,1998,33,1,Cenrich,Namb,16,Bromus inermis,C3,2,7/27/1998,12:07 PM,atgrwth,2078,1.826,7.2,27.4,80.1,0.08938,142.9,102.2,Ciras-1
54,1998,33,1,Cenrich,Namb,16,Bromus inermis,C3,2,7/27/1998,12:11 PM,other,2041,2.154,4.3,26.3,112.3,0.03786,142.9,60.7,Ciras-1
55,1998,33,1,Cenrich,Namb,16,Lupinus perennis,legume,2,7/27/1998,11:36 AM,atgrwth,2126,6.076,29,25.4,571.8,0.05078,134.6,390.7,Ciras-1
56,1998,33,1,Cenrich,Namb,16,Lupinus perennis,legume,2,7/27/1998,11:41 AM,other,2151,6.144,17.1,26.8,477.1,0.03589,134.6,230.4,Ciras-1
57,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,1,6/26/1998,9:50 AM,other,1986,4.706,18.6,25.8,438.7,0.04239,160,297.5,Ciras-1
58,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,1,6/26/1998,9:55 AM,atgrwth,1870,7.313,22.6,29.7,418.9,0.05383,160,360.9,Ciras-1
59,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,3,7/8/1998,11:45 AM,atgrwth,2228,1.121,6.8,26,72.6,0.09416,187.5,128.1,Ciras-1
60,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,3,7/8/1998,11:47 AM,other,2305,1.121,2.9,25.2,82.4,0.03516,187.5,54.3,Ciras-1
61,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,4,7/16/1998,2:34 PM,atgrwth,2188,3.176,12.5,24.5,206.2,0.06038,143.7,178.9,Ciras-1
62,1998,35,1,Cenrich,Namb,1,Lespedeza capitata,legume,4,7/16/1998,2:37 PM,other,2250,2.721,6.7,26.5,134.7,0.04961,143.7,96,Ciras-1
63,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,1,7/17/1998,9:49 AM,atgrwth,2217,3.385,10.3,25.6,186.6,0.05499,225,230.8,Ciras-1
64,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,1,7/17/1998,9:51 AM,other,2140,3.148,4.9,25.1,181,0.02728,225,111.1,Ciras-1
65,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,2,7/21/1998,11:14 AM,atgrwth,1627,2.462,10.4,26.9,144.4,0.07238,156.4,163.4,Ciras-1
66,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,2,7/21/1998,11:17 AM,other,1517,2.051,6.5,25.4,142.5,0.04553,156.4,101.5,Ciras-1
67,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,3,7/23/1998,10:04 AM,atgrwth,1961,2.969,12.3,26.3,144.9,0.08516,135.8,167.6,Ciras-1
68,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,3,7/23/1998,10:07 AM,other,1975,2.739,7.1,25.9,136.4,0.05202,135.8,96.3,Ciras-1
69,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,4,7/24/1998,1:26 PM,atgrwth,1960,1.301,8.7,28.3,45.9,0.19051,204.7,178.9,Ciras-1
70,1998,36,1,Cenrich,Nenrich,1,Agropyron repens,C3,4,7/24/1998,1:33 PM,other,2009,1.041,3.4,28.6,36.2,0.09441,204.7,69.9,Ciras-1
71,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,1,6/26/1998,10:15 AM,atgrwth,1975,3.997,10.1,28.7,226.9,0.04472,188.7,191.4,Ciras-1
72,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,1,6/26/1998,10:17 AM,other,1953,5.573,3.5,31.1,250.5,0.01393,188.7,65.8,Ciras-1
73,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,2,7/1/1998,1:36 PM,atgrwth,1396,2.238,9.4,28.8,126.9,0.07381,157.5,147.5,Ciras-1
74,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,2,7/1/1998,1:38 PM,other,1240,2.132,5.2,27.3,140,0.03711,157.5,81.8,Ciras-1
75,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,3,7/8/1998,11:53 AM,atgrwth,2122,3.277,7.9,24.8,271.4,0.02921,210,166.5,Ciras-1
76,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,3,7/8/1998,11:55 AM,other,2269,3.279,3.1,25.9,244,0.01271,210,65.1,Ciras-1
77,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,4,7/16/1998,2:42 PM,atgrwth,1680,3.017,13.4,27.7,197.2,0.06803,175,234.7,Ciras-1
78,1998,39,1,Cenrich,Namb,1,Bromus inermis,C3,4,7/16/1998,2:45 PM,other,1722,3.619,8.5,27.6,277.7,0.03058,175,148.6,Ciras-1
79,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,1,6/26/1998,10:59 AM,atgrwth,2100,4.192,14.8,27.9,412.4,0.03585,113.6,168,Ciras-1
80,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,1,6/26/1998,11:01 AM,other,2063,4.309,10,26.9,575.3,0.01744,113.6,114,Ciras-1
81,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,2,7/1/1998,1:03 PM,atgrwth,1779,1.43,16.7,24.5,193.2,0.08658,104.2,174.3,Ciras-1
82,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,2,7/1/1998,1:35 PM,other,1689,1.946,8.6,26.7,177.4,0.04844,104.2,89.5,Ciras-1
83,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,3,7/8/1998,12:05 PM,atgrwth,2133,2.972,14.3,24.1,403.8,0.0353,113.6,162,Ciras-1
84,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,3,7/8/1998,12:09 PM,other,2261,3.202,9.2,25,379.6,0.02433,113.6,104.9,Ciras-1
85,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,4,7/16/1998,2:49 PM,atgrwth,2261,3.418,17.3,26.3,231.9,0.07456,96.2,166.3,Ciras-1
86,1998,42,1,Cenrich,Namb,1,Solidago rigida,forb,4,7/16/1998,2:55 PM,other,2100,3.928,10.6,28.3,200.9,0.05297,96.2,102.3,Ciras-1
87,1998,43,1,Cenrich,Nenrich,16,Achillea millefolium,forb,4,7/31/1998,10:35 AM,atgrwth,1620,1.865,5,27.8,82.6,0.05999,133.3,66.1,Ciras-1
88,1998,43,1,Cenrich,Nenrich,16,Achillea millefolium,forb,4,7/31/1998,10:39 AM,other,1620,1.71,6.5,27.4,78.4,0.08317,133.3,86.9,Ciras-1
89,1998,43,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,4,7/31/1998,10:12 AM,atgrwth,1554,1.76,6.6,28.4,70.1,0.09368,324.9,213.5,Ciras-1
90,1998,43,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,4,7/31/1998,10:16 AM,other,1568,1.564,3.2,26.8,70.2,0.04561,324.9,104.1,Ciras-1
91,1998,43,1,Cenrich,Nenrich,16,Bromus inermis,C3,4,7/31/1998,10:25 AM,atgrwth,1609,1.32,4.2,27.5,56.5,0.07361,175.6,73.1,Ciras-1
92,1998,43,1,Cenrich,Nenrich,16,Bromus inermis,C3,4,7/31/1998,10:29 AM,other,1598,1.268,3.5,27.1,54.9,0.06305,175.6,60.7,Ciras-1
93,1998,43,1,Cenrich,Nenrich,16,Lupinus perennis,legume,4,7/31/1998,10:30 AM,atgrwth,2195,3.899,10.1,24.9,330.3,0.03048,185.7,186.9,Ciras-1
94,1998,43,1,Cenrich,Nenrich,16,Lupinus perennis,legume,4,7/31/1998,10:34 AM,other,2195,4.158,6.5,26.4,297.3,0.0217,185.7,119.8,Ciras-1
95,1998,45,1,Cenrich,Namb,16,Achillea millefolium,forb,4,7/31/1998,11:11 AM,atgrwth,2085,5.197,15.9,24.5,441.4,0.036,110.7,176,Ciras-1
96,1998,45,1,Cenrich,Namb,16,Achillea millefolium,forb,4,7/31/1998,11:15 AM,other,2100,4.906,10.1,26.2,316.6,0.03176,110.7,111.3,Ciras-1
97,1998,45,1,Cenrich,Namb,16,Andropogon gerardi,C4,4,7/31/1998,10:47 AM,atgrwth,1638,1.526,4.3,27.7,60.1,0.07241,252.8,109.9,Ciras-1
98,1998,45,1,Cenrich,Namb,16,Andropogon gerardi,C4,4,7/31/1998,10:52 AM,other,1649,1.436,3,27.2,58.3,0.05076,252.8,74.8,Ciras-1
99,1998,45,1,Cenrich,Namb,16,Bromus inermis,C3,4,7/31/1998,11:01 AM,atgrwth,1579,1.829,5.1,27.7,74.6,0.068,180.9,91.7,Ciras-1
100,1998,45,1,Cenrich,Namb,16,Bromus inermis,C3,4,7/31/1998,11:04 AM,other,1583,1.829,3,27.6,75.5,0.03952,180.9,54,Ciras-1
101,1998,45,1,Cenrich,Namb,16,Lupinus perennis,legume,4,7/31/1998,10:46 AM,atgrwth,2155,6.112,22.9,25.2,527.3,0.04342,139.6,319.5,Ciras-1
102,1998,45,1,Cenrich,Namb,16,Lupinus perennis,legume,4,7/31/1998,10:51 AM,other,2140,6.967,18.2,26.5,550.1,0.03303,139.6,253.5,Ciras-1
103,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,1,7/17/1998,9:56 AM,atgrwth,1972,2.266,5.6,26,125.7,0.0446,140.2,78.6,Ciras-1
104,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,1,7/17/1998,9:59 AM,other,1935,2.393,4,26.5,126.1,0.03169,140.2,56,Ciras-1
105,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,2,7/21/1998,11:21 AM,atgrwth,2100,2.78,8,26.6,152.8,0.0523,162.5,129.9,Ciras-1
106,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,2,7/21/1998,11:23 AM,other,2148,2.283,3.9,25.6,137.8,0.02858,162.5,64,Ciras-1
107,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,3,7/23/1998,10:15 AM,atgrwth,2133,1.936,6.4,27.8,74.8,0.08563,147.5,94.5,Ciras-1
108,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,3,7/23/1998,10:18 AM,other,2181,1.451,2.3,25.7,65,0.03495,147.5,33.5,Ciras-1
109,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,4,7/24/1998,1:39 PM,atgrwth,2302,1.992,9.1,28.7,78.2,0.11593,139.9,126.8,Ciras-1
110,1998,46,1,Cenrich,Namb,1,Anemone cylindrica,forb,4,7/24/1998,1:43 PM,other,2368,1.991,6.8,26.6,92.7,0.0731,139.9,94.8,Ciras-1
111,1998,47,1,Cenrich,Nenrich,1,Koleria cristata,C3,2,7/1/1998,1:44 PM,atgrwth,1293,4.069,15,27.5,226.7,0.06601,85,127.2,Ciras-1
112,1998,47,1,Cenrich,Nenrich,1,Koleria cristata,C3,2,7/1/1998,1:46 PM,other,1422,3.088,9.9,29.9,122.6,0.08045,85,83.8,Ciras-1
113,1998,47,1,Cenrich,Nenrich,1,Koleria cristata,C3,4,7/16/1998,2:50 PM,atgrwth,1770,3.668,14.1,28,195.2,0.07203,109.4,153.8,Ciras-1
114,1998,47,1,Cenrich,Nenrich,1,Koleria cristata,C3,4,7/16/1998,2:53 PM,other,1710,3.516,6,27.8,193.9,0.03113,109.4,66,Ciras-1
115,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,1,6/26/1998,10:06 AM,atgrwth,1840,5.038,27.3,26,673.1,0.04053,75.3,205.6,Ciras-1
116,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,1,6/26/1998,10:08 AM,other,1847,7.136,15.8,29.2,583.5,0.02714,75.3,119.3,Ciras-1
117,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,2,7/1/1998,1:17 PM,atgrwth,1686,5.038,27.2,25.2,599,0.04537,118,320.6,Ciras-1
118,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,2,7/1/1998,1:18 PM,other,1697,3.539,18.2,24.1,522.6,0.03488,118,215,Ciras-1
119,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,3,7/8/1998,12:20 PM,atgrwth,1862,3.635,12.8,24.8,367.6,0.03478,108.3,138.4,Ciras-1
120,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,3,7/8/1998,12:23 PM,other,1843,3.083,8.4,24.8,253.7,0.03325,108.3,91.3,Ciras-1
121,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,4,7/16/1998,2:43 PM,atgrwth,2067,3.509,10.2,24.5,226.7,0.04507,117.4,120,Ciras-1
122,1998,49,1,Cenrich,Nenrich,1,Achillea millefolium,forb,4,7/16/1998,2:45 PM,other,2078,3.647,5.4,25.1,212.6,0.02563,117.4,64,Ciras-1
123,1998,51,1,Cenrich,Namb,16,Achillea millefolium,forb,1,7/17/1998,10:21 AM,atgrwth,2177,3.549,8.2,25.5,213.8,0.03828,93.5,76.5,Ciras-1
124,1998,51,1,Cenrich,Namb,16,Achillea millefolium,forb,1,7/17/1998,10:24 AM,other,2195,3.473,6,26.6,181.3,0.03319,93.5,56.2,Ciras-1
125,1998,51,1,Cenrich,Namb,16,Andropogon gerardi,C4,1,7/17/1998,10:43 AM,atgrwth,1810,2.511,8.3,25.8,118.7,0.06972,212.5,175.8,Ciras-1
126,1998,51,1,Cenrich,Namb,16,Andropogon gerardi,C4,1,7/17/1998,10:45 AM,other,1972,2.261,4,24.8,120.1,0.03349,212.5,85.4,Ciras-1
127,1998,51,1,Cenrich,Namb,16,Bromus inermis,C3,1,7/17/1998,10:28 AM,atgrwth,2041,1.044,2.4,24.4,55.5,0.04378,171.4,41.6,Ciras-1
128,1998,51,1,Cenrich,Namb,16,Bromus inermis,C3,1,7/17/1998,10:31 AM,other,2049,0.94,-0.3,26.6,41.3,-0.00831,171.4,-5.9,Ciras-1
129,1998,51,1,Cenrich,Namb,16,Lupinus perennis,legume,1,7/17/1998,10:14 AM,atgrwth,2166,6.056,23,27.9,371.2,0.06189,166.6,382.7,Ciras-1
130,1998,51,1,Cenrich,Namb,16,Lupinus perennis,legume,1,7/17/1998,10:17 AM,other,2104,5.292,16.1,26.6,355.2,0.04524,166.6,267.7,Ciras-1
131,1998,52,1,Cenrich,Nenrich,16,Achillea millefolium,forb,1,7/17/1998,11:04 AM,atgrwth,1997,2.475,6.9,25.9,155,0.04474,129,89.5,Ciras-1
132,1998,52,1,Cenrich,Nenrich,16,Achillea millefolium,forb,1,7/17/1998,11:06 AM,other,1994,2.165,4,26,131,0.03034,129,51.3,Ciras-1
133,1998,52,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,1,7/17/1998,11:17 AM,atgrwth,1975,1.969,6.5,26.5,104.2,0.06205,282.5,182.7,Ciras-1
134,1998,52,1,Cenrich,Nenrich,16,Andropogon gerardi,C4,1,7/17/1998,11:19 AM,other,2036,1.87,5,25,116.2,0.0431,282.5,141.5,Ciras-1
135,1998,52,1,Cenrich,Nenrich,16,Bromus inermis,C3,1,7/17/1998,11:10 AM,atgrwth,2118,1.994,4,25.1,121.8,0.0331,220.2,88.8,Ciras-1
136,1998,52,1,Cenrich,Nenrich,16,Bromus inermis,C3,1,7/17/1998,11:14 AM,other,2060,2.224,2.1,26.5,115.9,0.0184,220.2,47,Ciras-1
137,1998,52,1,Cenrich,Nenrich,16,Lupinus perennis,legume,1,7/17/1998,10:49 AM,atgrwth,2145,3.502,21.2,25.8,273.9,0.07733,222.6,471.6,Ciras-1
138,1998,52,1,Cenrich,Nenrich,16,Lupinus perennis,legume,1,7/17/1998,11:01 AM,other,2162,4.608,14.2,27.7,329.5,0.04303,222.6,315.7,Ciras-1
139,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,1,6/26/1998,10:36 AM,atgrwth,1980,2.461,14.6,26.2,248,0.05878,96.2,140.2,Ciras-1
140,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,1,6/26/1998,10:38 AM,other,1990,2.635,10,25.3,367.3,0.02736,96.2,96.6,Ciras-1
141,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,2,7/1/1998,1:37 PM,atgrwth,1627,1.03,20.8,23.5,207.5,0.10016,119,247.4,Ciras-1
142,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,3,7/8/1998,12:27 PM,atgrwth,2111,3.545,13.4,26.9,290.5,0.04607,125,167.3,Ciras-1
143,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,3,7/8/1998,12:29 PM,other,2100,3.027,9.3,26,259.8,0.03577,125,116.2,Ciras-1
144,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,4,7/16/1998,2:59 PM,atgrwth,2071,3.589,15,28.1,194.1,0.07716,108.7,162.7,Ciras-1
145,1998,53,1,Cenrich,Nenrich,1,Solidago rigida,forb,4,7/16/1998,3:02 PM,other,2052,3.301,12,25.4,241.3,0.04958,108.7,130,Ciras-1
146,1998,55,1,Cenrich,Namb,1,Lupinus perennis,legume,1,6/26/1998,10:44 AM,atgrwth,2090,2.407,21.8,23.3,464.3,0.04691,145.2,316.3,Ciras-1
147,1998,55,1,Cenrich,Namb,1,Lupinus perennis,legume,1,6/26/1998,10:46 AM,other,2130,4.315,13.9,26.7,477.4,0.02912,145.2,201.8,Ciras-1
148,1998,55,1,Cenrich,Namb,1,Lupinus perennis,legume,2,7/1/1998,1:26 PM,atgrwth,1873,1.697,17.6,24.2,252.7,0.06967,160.9,283.3,Ciras-1
